Age,CO2
56.029,1208.39318
56.029,958.7034451
56.031,873.0386088
56.03177943,864.2652211
56.039,888.1509654
56.039,885.0483875
56.05103945,1060.612108
56.07283749,924.2281972
56.08987693,867.4279076
56.136174,953.362525
56.15241858,1138.825
56.16204856,834.1499249
56.16378979,863.1898182
56.176,1061.231086
56.176,1002.52868
56.176,991.6645053
56.21414799,1021.432992
56.24663716,878.692797
56.44888222,703.1537581
65.6141,1101.761409
